"row ID","Gemeinde","Schule","Geschlecht","Muttersprache","Heimatland","Alter","Französisch","Italienisch","Mathematik","1","2","3","4","5","6","7","Gesamtergebnis","M"
"L-409596-KSSUR","Sursee","KSSUR","M","D","CH",16.0,4.0,,4.0,,,4.208333333333333,,,,,4.208333333333333,
"L-409598-KSALP","Kriens","KSALP","M","D","CH",22.0,4.5,,4.0,,4.464285714285714,4.384615384615385,4.269230769230769,,,,4.375,
"L-409599-KSSUR","Geuensee","KSSUR","F","OAS","CH",16.0,4.5,,4.5,,,4.583333333333333,,,,,4.583333333333333,
"L-409599-KSALP","Kriens","KSALP","F","D","CH",22.0,4.5,,3.5,,4.392857142857143,4.25,3.8461538461538463,,,,4.170731707317073,
"L-409600-KSALP","Kriens","KSALP","M","D","CH",22.0,4.0,,3.5,,4.357142857142857,4.346153846153846,4.326923076923077,4.607142857142857,4.375,,4.421052631578948,4.5625
"L-409603-KSALP","Kriens","KSALP","F","D","CH",22.0,5.0,,3.5,,4.428571428571429,4.678571428571429,4.769230769230769,5.035714285714286,5.041666666666667,,4.819277108433735,4.96875
"L-409605-KSALP","Kriens","KSALP","M","D","CH",22.0,3.5,,3.75,,4.285714285714286,4.1923076923076925,4.269230769230769,4.357142857142857,4.1875,,4.247967479674797,4.265625
"L-409607-KSALP","Kriens","KSALP","M","D","CH",21.0,3.5,,4.5,,4.571428571428571,4.1923076923076925,4.115384615384615,4.053571428571429,4.041666666666667,,4.177083333333333,4.1875
"L-409609-KSALP","Hildisrieden","KSALP","F","D","CH",22.0,4.75,,3.75,,4.642857142857143,4.461538461538462,4.846153846153846,,,,4.60377358490566,
"L-409611-KSALP","Adligenswil","KSALP","F","D","CH",21.0,4.5,,4.0,,4.714285714285714,4.321428571428571,4.461538461538462,4.428571428571429,4.541666666666667,,4.506024096385542,4.5625
"L-409615-KSALP","Meggen","KSALP","M","D","I",21.0,5.0,,5.0,,4.607142857142857,5.035714285714286,5.0,5.071428571428571,5.083333333333333,,4.969879518072289,5.03125
"L-409619-KSALP","Luzern","KSALP","F","D","CH",22.0,5.0,,6.0,,,5.384615384615385,5.461538461538462,5.5,5.625,,5.5144927536231885,5.588235294117647
"L-409621-KSALP","Dierikon","KSALP","M","D","CH",21.0,4.5,,4.5,,4.607142857142857,4.346153846153846,4.8076923076923075,4.642857142857143,4.75,,4.682926829268292,4.90625
"L-409625-KSALP","Gisikon","KSALP","M","D","CH",22.0,5.0,,5.0,,5.035714285714286,4.846153846153846,4.769230769230769,5.25,5.416666666666667,,5.121951219512195,5.375
"L-409627-KSALP","Honau","KSALP","M","D","CH",22.0,4.0,,3.5,,4.642857142857143,4.1923076923076925,4.3076923076923075,4.392857142857143,4.5,,4.408536585365853,4.40625
"L-409629-KSALP","Dierikon","KSALP","F","D","CH",22.0,4.0,,3.5,,4.5,4.346153846153846,4.653846153846154,4.642857142857143,4.833333333333333,,4.646341463414634,4.875
"L-409633-KSALP","Dierikon","KSALP","M","D","CH",22.0,5.0,,5.0,,4.964285714285714,4.8076923076923075,4.923076923076923,4.785714285714286,4.916666666666667,,4.896341463414634,4.96875
"L-409635-KSALP","Root","KSALP","F","D","CH",22.0,4.5,,4.5,,4.821428571428571,4.678571428571429,4.615384615384615,4.857142857142857,4.541666666666667,,4.686746987951807,4.59375
"L-409636-KSALP","Root","KSALP","M","D","CH",20.0,4.0,,4.5,,4.464285714285714,4.346153846153846,4.653846153846154,5.071428571428571,5.208333333333333,,4.817073170731708,5.125
"L-409638-KSALP","Root","KSALP","M","D","CH",21.0,3.5,,6.0,,4.714285714285714,5.0,4.961538461538462,4.964285714285714,4.958333333333333,,4.945121951219512,5.0625
"L-409640-KSALP","Root","KSALP","M","D","CH",21.0,4.0,,4.0,,4.5,4.230769230769231,4.173076923076923,4.5,4.833333333333333,,4.463157894736842,4.78125
"L-409641-KSALP","Luzern","KSALP","F","D","CH",21.0,5.0,,4.5,,4.821428571428571,4.846153846153846,5.0,5.178571428571429,5.25,,5.0426829268292686,5.15625
"L-409643-KSALP","Kriens","KSALP","M","D","CH",21.0,4.5,,3.5,,4.125,4.230769230769231,4.269230769230769,4.035714285714286,,,4.154411764705882,
"L-409647-KSALP","Luzern","KSALP","M","D","D",21.0,4.0,,4.5,,4.464285714285714,4.464285714285714,4.346153846153846,,,,4.426829268292683,
"L-409667-KSALP","Buchrain","KSALP","F","D","CH",22.0,5.0,,4.5,,4.714285714285714,4.857142857142857,4.769230769230769,4.857142857142857,5.041666666666667,,4.879518072289157,5.03125
"L-409669-KSALP","Buchrain","KSALP","F","D","CH",22.0,4.5,,4.0,,4.607142857142857,4.535714285714286,4.5,4.571428571428571,4.541666666666667,,4.578313253012048,4.6875
"L-409673-KSALP","Buchrain","KSALP","F","D","CH",22.0,5.0,,5.0,,4.964285714285714,5.0,4.846153846153846,4.928571428571429,5.0,,4.969879518072289,5.0588235294117645
"L-409675-KSALP","Buchrain","KSALP","M","D","CH",21.0,4.5,,4.5,,4.214285714285714,4.214285714285714,4.076923076923077,4.428571428571429,4.5,,4.325301204819277,4.5
"L-409677-KSALP","Buchrain","KSALP","M","D","CH",22.0,4.5,,5.5,,5.142857142857143,5.038461538461538,5.115384615384615,4.857142857142857,5.125,,5.073170731707317,5.15625
"L-409679-KSALP","Buchrain","KSALP","M","D","CH",21.0,5.0,,4.5,,4.75,4.8076923076923075,4.8076923076923075,4.714285714285714,4.916666666666667,,4.823170731707317,4.9375
"L-409681-KSALP","Buchrain","KSALP","M","D","CH",22.0,3.5,,5.5,,4.928571428571429,4.884615384615385,4.576923076923077,4.571428571428571,4.416666666666667,,4.676829268292683,4.65625
"L-409683-KSALP","Buchrain","KSALP","M","D","CH",22.0,5.0,,6.0,,4.75,5.0,5.115384615384615,5.142857142857143,5.166666666666667,,5.0602409638554215,5.1875
"L-409687-KSALP","Kriens","KSALP","M","D","CH",22.0,4.5,,3.5,,4.357142857142857,4.076923076923077,3.980769230769231,4.0,,,4.082089552238806,
"L-409691-KSALP","Meggen","KSALP","M","D","CH",21.0,4.0,,4.5,,4.607142857142857,4.538461538461538,4.576923076923077,4.607142857142857,4.625,,4.615853658536586,4.71875
"L-409694-KSALP","Kriens","KSALP","F","D","CH",22.0,4.0,,3.5,,4.25,4.269230769230769,4.115384615384615,,,,4.2125,
"L-409700-KSALP","Buchrain","KSALP","F","D","D",22.0,3.5,,3.5,,4.089285714285714,4.115384615384615,4.269230769230769,4.392857142857143,4.166666666666667,,4.1875,4.1875
"L-409709-KSALP","Luzern","KSALP","F","D","CH",22.0,3.5,,3.5,,4.321428571428571,4.461538461538462,4.038461538461538,,,,4.275,
"L-409710-KSSUR","Mauensee","KSSUR","F","D","CH",15.0,5.0,,4.0,,,4.541666666666667,,,,,4.541666666666667,
"L-409711-KSALP","Dierikon","KSALP","M","D","CH",22.0,3.0,,4.0,,4.321428571428571,4.0,,,,,4.166666666666667,
"L-409727-KSALP","Ebikon","KSALP","F","D","CH",22.0,5.5,,5.5,,5.035714285714286,5.035714285714286,4.923076923076923,4.821428571428571,4.791666666666667,,4.903614457831325,4.8125
"L-409730-KSALP","Luzern","KSALP","M","D","CH",22.0,5.0,,4.5,,4.678571428571429,4.730769230769231,4.653846153846154,4.357142857142857,4.458333333333333,,4.536585365853658,4.375
"L-409731-KSALP","Kriens","KSALP","M","F","CH",21.0,5.0,,5.0,,4.571428571428571,4.5,4.5,4.535714285714286,4.5,,4.536458333333333,4.5625
"L-409751-KSALP","Adligenswil","KSALP","M","D","CH",21.0,4.0,,4.5,,4.107142857142857,4.153846153846154,4.384615384615385,4.423076923076923,4.916666666666667,,4.487654320987654,4.90625
"L-409758-KSALP","Kriens","KSALP","M","D","CH",23.0,4.0,,3.5,,,4.384615384615385,4.730769230769231,4.678571428571429,4.875,,4.720588235294118,4.90625
"L-409763-KSALP","Luzern","KSALP","M","D","CH",22.0,5.0,,4.5,,5.142857142857143,5.076923076923077,5.115384615384615,5.25,5.416666666666667,,5.246987951807229,5.4411764705882355
"L-409773-KSALP","Kriens","KSALP","F","D","CH",23.0,4.5,,4.0,,,4.6923076923076925,4.461538461538462,5.071428571428571,4.833333333333333,,4.8088235294117645,4.9375
